Price,Close,High,Low,Open,Volume
Ticker,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS,ALFEN.AS
Date,,,,,
2025-03-14,13.260000228881836,13.645000457763672,12.420000076293945,12.869999885559082,1026365
2025-03-17,13.979999542236328,13.989999771118164,13.140000343322754,13.239999771118164,495823
2025-03-18,13.619999885559082,14.050000190734863,13.550000190734863,13.895000457763672,572117
2025-03-19,13.925000190734863,14.199999809265137,13.520000457763672,13.59000015258789,341710
2025-03-20,13.864999771118164,14.100000381469727,13.5,13.890000343322754,439995
2025-03-21,13.854999542236328,14.739999771118164,13.5,14.425000190734863,1605021
2025-03-24,13.550000190734863,14.289999961853027,13.550000190734863,13.899999618530273,397647
2025-03-25,13.25,13.600000381469727,13.210000038146973,13.5,305058
2025-03-26,13.645000457763672,14.135000228881836,13.170000076293945,13.369999885559082,636318
2025-03-27,13.359999656677246,13.699999809265137,13.114999771118164,13.5,394680
2025-03-28,12.789999961853027,13.265000343322754,12.789999961853027,13.260000228881836,525273
2025-03-31,12.414999961853027,12.654999732971191,12.164999961853027,12.5,352788
2025-04-01,12.274999618530273,12.520000457763672,12.104999542236328,12.479999542236328,280424
2025-04-02,12.194999694824219,12.220000267028809,11.880000114440918,12.220000267028809,228910
2025-04-03,11.520000457763672,12.069999694824219,11.470000267028809,11.899999618530273,358851
2025-04-04,10.670000076293945,11.4350004196167,10.369999885559082,11.40999984741211,730184
2025-04-07,11.460000038146973,12.100000381469727,9.923999786376953,10.145000457763672,1003517
2025-04-08,12.045000076293945,12.335000038146973,11.59000015258789,11.989999771118164,455108
2025-04-09,11.625,11.960000038146973,11.385000228881836,11.600000381469727,375216
2025-04-10,11.835000038146973,12.585000038146973,11.835000038146973,12.550000190734863,342646
2025-04-11,11.845000267028809,12.109999656677246,11.670000076293945,12.0,178201
2025-04-14,12.364999771118164,12.470000267028809,11.899999618530273,12.079999923706055,298240
2025-04-15,12.680000305175781,12.8149995803833,12.345000267028809,12.460000038146973,338275
